BARVY - nahodne generovane
java.awt.Color[r=214,g=161,b=147]
java.awt.Color[r=141,g=142,b=163]
java.awt.Color[r=201,g=247,b=160]
java.awt.Color[r=173,g=198,b=250]
java.awt.Color[r=198,g=234,b=177]
java.awt.Color[r=228,g=169,b=221]
java.awt.Color[r=251,g=136,b=193]
java.awt.Color[r=201,g=196,b=228]
java.awt.Color[r=224,g=224,b=236]
java.awt.Color[r=128,g=226,b=247]
java.awt.Color[r=223,g=243,b=139]
java.awt.Color[r=223,g=147,b=177]
java.awt.Color[r=173,g=213,b=138]
java.awt.Color[r=198,g=233,b=196]
java.awt.Color[r=143,g=159,b=172]
java.awt.Color[r=231,g=255,b=144]
java.awt.Color[r=224,g=166,b=246]
java.awt.Color[r=225,g=154,b=193]
java.awt.Color[r=195,g=224,b=155]
java.awt.Color[r=142,g=197,b=225]
java.awt.Color[r=217,g=175,b=251]
java.awt.Color[r=170,g=220,b=252]
java.awt.Color[r=136,g=149,b=226]
java.awt.Color[r=148,g=151,b=233]
java.awt.Color[r=210,g=169,b=163]
java.awt.Color[r=223,g=128,b=201]
java.awt.Color[r=199,g=252,b=253]
java.awt.Color[r=187,g=194,b=139]
java.awt.Color[r=251,g=214,b=246]
java.awt.Color[r=190,g=170,b=241]
java.awt.Color[r=250,g=173,b=247]
java.awt.Color[r=165,g=254,b=179]
java.awt.Color[r=209,g=176,b=242]
java.awt.Color[r=159,g=223,b=149]
java.awt.Color[r=227,g=188,b=174]
